date,first,last3b,last2,last3f
2018-06-16,223131,132 868,46,507 432
2018-06-01,988117,650 248,95,310 553
2018-05-16,075629,506 047,20,357 130
2018-05-02,248038,602 225,85,527 980
2018-04-16,739229,526 076,60,654 273
2018-04-01,412073,924 638,85,787 131
2018-03-16,218559,205 489,82,064 720
2018-03-02,759415,589 723,29,318 870
2018-02-16,309915,748 230,39,007 388
2018-02-01,026853,181 519,31,106 947
2018-01-17,203823,236 397,50,624 799
2017-12-30,911234,953 504,98,373 495
2017-12-16,955596,938 290,89,616 836
2017-12-01,451005,257 601,33,626 303
2017-11-16,292391,628 477,98,831 961
2017-11-01,533726,036 485,85,425 165
2017-10-16,413494,287 128,86,180 971
2017-10-01,880714,952 462,52,726 611
2017-09-16,170143,340 388,71,172 647
2017-09-01,143224,195 278,65,345 679
2017-08-16,715431,945 253,37,115 302
2017-08-01,756519,787 989,36,061 386
2017-07-16,820327,823 390,87,584 835
2017-07-01,112360,688 005,26,489 226
2017-06-16,943142,373 740,47,878 626
2017-06-01,053630,581 881,61,121 218
2017-05-16,454891,603 490,53,008 396
2017-05-02,008656,923 773,35,573 949
2017-04-16,816729,241 807,40,973 766
2017-04-01,392785,500 709,80,020 057
2017-03-16,273863,941 694,92,918 324
2017-03-01,978453,577 052,78,560 450
2017-02-16,229116,375 953,14,464 128
2017-02-01,054672,628 426,42,066 807
2017-01-17,145157,836 516,25,511 663
2016-12-30,377712,769 477,46,890 304
2016-12-16,435286,716 199,35,596 366
2016-12-01,086069,148 450,77,513 873
2016-11-16,858383,558 570,44,682 040
2016-11-01,785438,038 752,86,976 824
2016-10-16,571947,587 032,98,885 692
2016-10-01,887102,017 458,33,280 194
2016-09-16,240650,160 043,42,493 583
2016-09-01,638684,669 630,62,335 334
2016-08-16,254004,596 631,33,366 966
2016-08-01,272932,472 871,57,538 983
2016-07-16,449764,925 158,55,552 734
2016-07-01,082460,173 302,53,609 169
2016-06-16,073816,321 749,79,804 251
2016-06-01,511825,937 880,14,111 775
2016-05-16,141737,087 268,98,382 975
2016-05-02,399459,671 046,02,403 238
2016-04-16,221609,523 507,87,228 008
2016-04-01,066720,285 852,92,390 546
2016-03-16,134918,973 004,32,877 855
2016-03-01,439686,743 155,06,530 426
2016-02-16,356364,309 535,98,699 312
2016-02-01,927800,054 076,09,999 625
2016-01-17,304371,786 743,50,532 031
2015-12-30,008217,895 596,02,264 246
2015-12-17,930255,094 638,08,140 250
2015-12-01,915350,175 714,78,181 238
2015-11-16,795283,643 802,03,241 028
2015-11-01,361211,166 473,45,757 106
2015-10-16,968630,412 054,62,134 457
2015-10-01,594825,440 799,07,918 175
2015-09-16,743148,084 375,06,435 209
2015-09-01,021094,819 068,89,260 403
2015-08-16,033363,781 648 624 227,40,
2015-08-01,518677,648 889 333 598,53,
2015-07-16,121507,830 761 461 294,49,
2015-07-01,759049,565 814 081 567,26,
2015-06-16,644742,532 429 386 253,05,
2015-06-02,388881,700 876 314 969,65,
2015-05-16,011421,851 928 799 484,38,
2015-05-02,543466,195 818 163 366,30,
2015-04-16,506260,101 495 164 973,38,
2015-04-01,605704,962 557 558 861,70,
2015-03-16,048151,757 623 622 339,92,
2015-03-01,240237,857 008 498 031,34,
2015-02-16,001864,825 843 392 103,90,
2015-02-01,155537,813 083 286 008,79,
2015-01-16,244351,398 595 068 877,74,
2014-12-30,461704,535 853 982 950,57,
2014-12-16,948354,901 763 775 080,90,
2014-12-01,480449,580 380 161 820,11,
2014-11-16,479804,179 480 709 422,25,
2014-11-01,206608,979 855 607 203,44,
2014-10-16,656409,784 910 848 647,94,
2014-10-01,375615,159 251 520 086,44,
2014-09-16,772269,112 257 790 342,35,
2014-09-01,856763,477 308 912 490,22,
2014-08-16,662842,633 639 912 187,91,
2014-08-01,766391,623 576 637 349,82,
2014-07-16,468728,117 205 944 104,45,
2014-07-01,378477,123 441 864 271,39,
2014-06-16,673920,158 639 140 576,95,
2014-06-01,781198,160 409 324 636,18,
2014-05-16,087523,150 246 505 112,20,
2014-05-02,103297,158 797 143 673,52,
2014-04-16,153406,355 013 344 634,26,
2014-04-01,028866,835 186 499 938,95,
2014-03-16,531404,305 400 904 250,79,
2014-03-01,906318,798 537 753 116,35,
2014-02-16,384245,530 521 074 397,01,
2014-02-01,180149,976 888 406 492,95,
2014-01-16,306902,510 077 242 149,52,
2013-12-30,561072,503 750 275 513,48,
2013-12-16,341767,111 228 742 826,79,
2013-12-01,168795,074 734 980 766,27,
2013-11-16,806925,069 304 753 672,28,
2013-11-01,739804,256 020 502 173,47,
2013-10-16,963289,952 402 529 876,60,
2013-10-01,647882,028 576 324 650,14,
2013-09-16,562684,056 754 235 574,63,
2013-09-01,548123,570 045 800 281,05,
2013-08-16,321327,417 945 201 448,20,
2013-08-01,356435,880 329 451 718,82,
2013-07-16,566996,210 352 584 526,86,
2013-07-01,646905,284 075 904 903,51,
2013-06-16,289673,098 114 390 502,69,
2013-06-01,935489,716 768 713 480,90,
2013-05-16,687125,034 390 945 261,56,
2013-05-02,603458,830 516 272 359,07,
2013-04-16,843846,834 828 862 906,86,
2013-04-01,571688,170 430 725 670,53,
2013-03-16,968433,175 529 860 959,52,
2013-03-01,976241,972 133 721 775,37,
2013-02-16,368257,109 708 386 657,09,
2013-02-01,565566,695 641 782 452,66,
2013-01-16,820981,374 196 334 555,08,
2012-12-30,302358,589 832 864 126,00,
2012-12-16,529524,734 745 778 008,72,
2012-12-01,110443,489 303 553 434,43,
2012-11-16,639500,804 627 576 560,15,
2012-11-01,524694,217 188 338 285,63,
2012-10-16,281343,868 396 152 089,28,
2012-10-01,124025,940 554 873 291,58,
2012-09-16,540143,242 752 770 123,79,
2012-09-01,329997,148 598 639 736,07,
2012-08-16,683877,032 612 730 775,28,
2012-08-01,895590,796 599 820 745,50,
2012-07-16,904050,224 042 159 897,11,
2012-07-01,915900,656 611 530 715,60,
2012-06-16,159373,790 547 238 479,51,
2012-06-01,882727,399 606 576 895,38,
2012-05-16,814418,309 504 902 101,31,
2012-05-02,889501,468 597 426 589,29,
2012-04-16,583470,722 216 088 754,62,
2012-04-01,257562,074 581 332 616,69,
2012-03-16,607064,350 333 606 573,08,
2012-03-01,222518,295 711 199 135,79,
2012-02-16,648684,906 420 214 111,18,
2012-02-01,320605,498 598 749 426,32,
2012-01-16,451445,328 639 941 150,81,
2011-12-30,526402,168 026 597 541,65,
2011-12-16,884178,235 651 784 295,21,
2011-12-01,408147,739 857 253 922,02,
2011-11-16,997777,993 425 551 406,57,
2011-11-01,805540,221 380 771 065,54,
2011-10-16,955756,057 507 991 329,83,
2011-10-01,511052,189 104 499 957,15,
2011-09-16,731198,645 384 589 812,28,
