symbol,marketCap,pe,pb,dividendYield,beta,ytdPercentChange,de,roe
KTB,292099680125.0,6.66,0.66,7.389999866485596,0.69,-0.47619047619048294,7.062640267481472,10.365142131592764
KTC,114091282597.5,15.34,2.87,2.9800000190734863,0.72,-11.5,1.7836210891085469,19.70322218637303
LH,48515835494.56,8.84,0.94,7.880000114440918,1.14,-19.60396039603961,1.7661695932324033,10.661758062193162
M,15286576460.0,10.41,1.12,9.079999923706055,1.21,-32.52032520325203,0.4037354743248361,10.571591258996289
MEGA,24630313601.0,12.24,2.49,5.659999847412109,0.68,-15.037593984962406,0.43873356191533014,20.986383957679372
MINT,135512449750.3,17.48,1.54,2.509999990463257,1.07,-8.076923076923082,2.4986485827289746,9.424426725595383
MOSHI,11962498332.5,22.97,5.15,2.2100000381469727,0.68,-16.184971098265898,0.8848387222804289,24.19829039338988
MTC,86920000000.0,14.81,2.35,0.6100000143051147,1.12,-14.583333333333334,3.623311909093558,17.038799779323163
OR,138000000000.0,18.04,1.27,3.4800000190734863,1.25,-13.533834586466169,0.9042782823919674,7.00770245436314
OSP,39649500000.0,24.2,2.56,4.550000190734863,1.03,-36.53846153846154,0.5916212127369733,10.296630354248078
PLANB,21055078317.52,20.05,2.12,2.380000114440918,1.46,-31.267605633802816,0.674076826416748,11.42074505642797
PR9,16433670000.0,23.06,3.02,1.909999966621399,0.43,-21.869158878504678,0.17662020366022563,13.55137650242672
PRM,13125000000.0,5.63,1.06,9.350000381469727,0.43,-38.95348837209302,0.9645962270185324,18.489155403427084
PTT,864030636562.5,9.55,0.75,6.96999979019165,0.62,-4.724409448818897,1.0754613049921302,7.932890677623863
PTTEP,382111094750.0,4.85,0.71,10.0,0.73,-19.11764705882353,0.8013519601578204,15.232895251333291
PTTGC,66280082019.9,,0.25,3.4000000953674316,1.75,-39.75409836065573,1.4045456868212143,-10.8298597722917
QH,15214421935.9,7.08,0.52,7.75,0.88,-17.44186046511628,0.5295009115522982,7.455669628035218
RATCH,49807499656.5,8.13,0.51,6.989999771118164,1.11,-23.66666666666667,1.014930595330023,6.271668007243942
RCL,18895500000.0,2.06,0.37,10.960000038146973,0.8,-19.292035398230084,0.37897273321872965,19.378662509710022
ROJNA,9334533807.06,2.42,0.46,10.819999694824219,1.39,-26.666666666666664,1.0468019958031232,20.64036779659557
SAPPE,10635973260.0,8.49,2.42,6.519999980926514,0.76,-49.07749077490775,0.31840207871465415,30.51334011405328
SAWAD,41537768607.5,8.22,1.25,0.15000000596046448,1.41,-34.131736526946106,1.9725006368022766,16.479072188232422
SCB,383850230604.0,8.74,0.79,9.15999984741211,0.62,-2.978723404255319,6.04583267138145,9.091176838497775
SCC,156000000000.0,24.6,0.44,3.8499999046325684,1.36,-22.61904761904762,1.052269542895463,1.769309069585876
SCGP,48509998260.0,13.11,0.63,4.869999885559082,1.64,-42.3469387755102,0.9790778427381843,4.803981872654532
SIRI,23310132529.94,4.44,0.48,11.149999618530273,0.99,-25.555555555555554,2.0495674943408493,11.161308219042464
SISB,15416000000.0,17.42,4.56,2.559999942779541,0.86,-45.33333333333334,0.622888304852775,28.696331378307647
SJWD,11137774881.9,9.95,0.49,4.550000190734863,1.5,-42.523364485981304,0.8415980263785114,4.951155706662831
SKY,11018390521.6,22.75,2.15,,0.91,-41.886792452830186,1.3364318249032852,9.866290098184802
SPALI,30467642868.0,4.92,0.57,9.289999961853027,0.97,-14.285714285714283,0.7748147567218173,11.943063857689388
SPRC,19164687392.5,8.58,0.49,9.050000190734863,1.35,-32.51908396946565,0.749969706484949,5.915711238865445
STA,20121599973.8,12.05,0.39,7.630000114440918,1.24,-27.6243093922652,0.8825929271416875,3.2937318233733777
STGT,19053446401.5,19.14,0.49,7.519999980926514,1.12,-32.48730964467005,0.26991205192718093,2.6415791510468196
TASCO,21623553509.0,15.26,1.36,6.570000171661377,0.61,-24.30939226519338,0.4782406050847387,8.797951027696199
TCAP,50332990416.0,7.57,0.69,6.869999885559082,0.62,-4.9504950495049505,1.086112552406593,9.292633609404838
TIDLOR,44285234808.0,10.47,1.45,2.880000114440918,1.49,-10.58823529411765,2.4898389828670706,14.352632567018553
TISCO,77062141310.0,11.17,1.79,8.050000190734863,0.27,-2.284263959390863,5.548435952706714,16.145823189225144
TLI,119080000000.0,10.19,1.06,4.809999942779541,1.01,-7.1428571428571335,4.34169784020362,10.761066801494946
TOP,48474231782.2,4.87,0.3,8.760000228881836,1.07,-23.185840707964605,1.46117691428963,6.053617910080277
TRUE,404259579371.7,,5.47,,0.7,5.405405405405403,8.10543183932285,-13.735775692374792
TTB,182194806409.33,8.64,0.76,6.960000038146973,0.53,0.537634408602151,6.35252973618483,9.039988800936245
TU,46778893308.0,8.65,0.89,6.409999847412109,0.59,-19.23076923076923,1.750932307802298,9.294690985227803
VGI,46800000000.0,93.67,1.3,,1.9,-34.26966292134832,0.07725315702462963,1.68533628557956
WHA,37666023391.08,8.64,1.08,7.559999942779541,1.7,-54.18181818181818,1.6366927759704684,12.761841241085218
